Title,Author,Genre,Published Date,Descriprion,Preveiw Link
The Mayor of Casterbridge (Historical Novel),['Thomas Hardy'],['Fiction'],2022-01-04,"After arguing with his wife Susan at a country fair near Casterbridge in Wessex, Michael Henchard, drunk on rum auctions her off, along with their baby daughter, to Richard Newson, a passing sailor, for five guineas. Sober and remorseful the next day, he is too late to locate his family and vows not to touch liquor again for 21 years. Some 18 years later, after Newson is lost at sea, Susan seeks out Henchard again, taking her daughter with her. She discovers that Henchard has become a very successful hay and grain merchant and Mayor of Casterbridge, known for his staunch sobriety. When the couple is reunited, Henchard proposes remarrying Susan after a sham courtship. However, he is engaged with a woman named Lucetta Templeman, who had nursed him when he was ill and his situation begins to complicate.",http://books.google.co.in/books?id=ng9iEAAAQBAJ&printsec=frontcover&dq=subject:fiction&hl=&cd=11&source=gbs_api
SHERLOCK HOLMES - THE VALLEY OF FEAR,['ARTHUR CONAN DOYLE'],['Fiction'],No date available,"SHERLOCK HOLMES – THE VALLEY OF FEAR, is the 4th and final novel written by Arthur Conan Doyle. This book is complete, unabridged and was originally published in 1915. This is one of Doyle’s most outstanding and well-known works of the adventures of the most famous crime-solving duo - Sherlock Holmes and John Watson This book is properly formatted for aesthetics and ease of reading. This book is great for teachers and students or for the casual reader. This book is the perfect addition to any classic literary library. At Pure Snow Publishing we have taken the time and care into formatting this book to make it the best possible reading experience. Key features of this book: - A biographical outline of the author - A custom list of related collections and novels written by the author (listed in order of initial publication) - Easy-to-read font size: 12 pt. - Indented first lines, 1.25 Line Spacing and Justified Paragraphs - Custom Table of Contents and Design elements for each chapter - The Copyright page has been placed at the end of the book, as to not impede the content and flow of the book. We have made this book available in 3 reading formats: Original Paperback, Large Print Paperback and Ebook. Enjoy!",http://books.google.co.in/books?id=L88qEAAAQBAJ&printsec=frontcover&dq=subject:fiction&hl=&cd=12&source=gbs_api
Taras Bulba,['Nikolái V. Gogol'],['Literary Criticism'],2006-12-19,"Feroces, crueles, valientes y apasionados, los cosacos hacen temblar la estepa bajo los cascos de sus caballos. Y entre ellos se encuentra Taras Bulba, un anciano lleno aún de fuerza e inteligencia que junto a sus hijos, Ostap y Andrí, avanzará por tierras polacas con intención de vengar su fe ortodoxa burlada por los católicos. Ninguna guarnición, ciudad amurallada o iglesia podrán detenerlos, hasta que la desgracia se cierna sobre ellos y el apuesto y enamoradizo Andrí haga que su padre maldiga el día en que lo engendró. Taras Bulba, una anomalía entre la obra más conocida de Gogol, es una aventura trepidante, una sinfonía en perpetuo crescendo, en la que cada capítulo es más intenso y sorprendente que el anterior. un fresco tan afinadamente dibujado y tan vívido que resulta absolutamente intemporal.",http://books.google.co.in/books?id=XdMBTKWSfeMC&printsec=frontcover&dq=subject:fiction&hl=&cd=13&source=gbs_api
Lajja,['Tasalimā Nāsarina'],['Fiction'],2014,"The Dattas have lived in Bangladesh all their lives. Despite being members of a small Hindu community, they refuse to leave the country. And then, on 6 December 1992, the Babri Masjid at Ayodhya is demolished by a mob of Hindu fundamentalists. The nightmare inevitably arrives at the Dattas' doorstep, and their world begins to fall apart.",http://books.google.co.in/books?id=ktEzuAEACAAJ&dq=subject:fiction&hl=&cd=14&source=gbs_api
Debarati Mukhopadhyay : NARACH,['Debarati Mukhopadhyay'],['Fiction'],2020,"25th of May, 1887- A boat carrying 700 pilgrims from Howrah was caught in a tornado and capsized on the way to Puri. This catastrophe has been lost in the sands of time. In the same period, Bengal was witnessing a cultural and social renaissance. Kadambini Devi was relentlessly fighting for women’s rights; Nawab Wajid Ali Shah was building a miniature-Lucknow in Metiabruz, Kolkata. Around the same time, thousands of people were tyrannised into slavery and indentured labour and were being shipped away to South American countries. Narach is a sprawling historical novel that contrasts the uprising in Bengal with the misfortunes of the tormented communities. Spanning over years, Debarati Mukhopadhyay's years of immersive research have been narrated with such astonishing frankness, detail and immediacy that readers are transported back in time and will get to experience the events as they happened.",http://books.google.co.in/books?id=63sTEAAAQBAJ&printsec=frontcover&dq=subject:fiction&hl=&cd=15&source=gbs_api
The Art Thief,['Noah Charney'],['Fiction'],2008-09-04,"The disappearance of a priceless Caravaggio in Rome and the famous 'White on White' by Russian painter Kasimir Malevich in Paris heralds the start of a series of seemingly unconnected art crimes across Europe. Fitting the pieces together as they follow a trail of bluffs and double-bluffs, bizarre clues and intellectual puzzles, Inspector Jean-JacquesBizot in Paris and Harry Wickenden of Scotland Yardcome to realize that what at first appears a spate of random thefts is all part of a single master plan, and that they are being led ever deeper into a baffling conspiracy. This fiendishly clever debut thriller takes us behind the scenes of the elite fine art world of auction houses, academia and museums to offer a fascinating view of art history, witty, fast-paced dialogue and an ever-surprising plot that twists its way from Rome to Paris to London and back again.",http://books.google.co.in/books?id=5c8Scnnvi84C&printsec=frontcover&dq=subject:fiction&hl=&cd=16&source=gbs_api
Great Expectations,['Charles Dickens'],['Fiction'],2011-11-08,"Great Expectations traces the growth of the book's narrator, Philip Pirrip (Pip), from a boy of shallow dreams to a man with depth of character. From its famous dramatic opening on the bleak Kentish marshes, the story abounds with some of Dickens's most memorable characters. Among them are the kindly blacksmith Joe Gargery, the mysterious convict Abel Magwitch, the eccentric Miss Haversham and her beautiful ward Estella, Pip's good-hearted room-mate Herbert Pocket and the pompous Pumblechook. As Pip unravels the truth behind his own great expectations in his quest to become a gentleman, the mysteries of the past and the convolutions of fate through a series of thrilling adventures serve to steer him towards maturity and his most important discovery of all - the truth about himself. This beautifully presented version has been specially formatted for today's e-readers by Andrews UK.",http://books.google.co.in/books?id=9nG_BAAAQBAJ&printsec=frontcover&dq=subject:fiction&hl=&cd=17&source=gbs_api
The Trial,['Franz Kafka'],['Fiction'],1992-06-30,"The story of the mysterious indictment, trial, and reckoning forced upon Joseph K—one of the twentieth century’s master parables from one of the greatest writers of the twentieth century, the author of The Metamorphosis. Translated by Willa and Edwin Muir The Trial reflects the central spiritual crises of modern life. Kafka’s method—one that has influenced, in some way, almost every writer of substance who followed him—was to render the absurd and the terrifying convincing by a scrupulous, hyperreal matter-of-factness of tone and treatment. He thereby imparted to his work a level of seriousness normally associated with civilization’s most cherished poems and religious texts. Everyman's Library pursues the highest production standards, printing on acid-free cream-colored paper, with full-cloth cases with two-color foil stamping, decorative endpapers, silk ribbon markers, European-style half-round spines, and a full-color illustrated jacket. Contemporary Classics include an introduction, a select bibliography, and a chronology of the author's life and times.",http://books.google.co.in/books?id=8T9_cxH7z6sC&dq=subject:fiction&hl=&cd=18&source=gbs_api
A Portrait of the Artist as a Young Man,['James Joyce'],['Fiction'],2018-03-19,"James JoyceÕs 1916 novella A Portrait of the Artist as a Young Man is about the early manhood of Stephen Dedalus, later one of the leading characters in Ulysses. StephenÕs growing self-awareness as an artist forces him to reject the whole narrow world in which he has been brought up, including family ties, nationalism, and the Catholic religion.",http://books.google.co.in/books?id=-sZSDwAAQBAJ&printsec=frontcover&dq=subject:fiction&hl=&cd=19&source=gbs_api
Refugee Tales: Volume III,"['Monica Ali', 'Lisa Appignanesi', 'David Constantine', 'Bernardine Evaristo', 'Patrick Gale', 'Abdulrazak Gurnah', 'David Herd', 'Emma Parsons', 'Ian Sansom', 'Jonathan Skinner', 'Gillian Slovo', 'Lytton Smith', 'Roma Tearne', 'Jonathan Wittenberg']",['Fiction'],2019-06-27,"With nationalism and the far right on the rise across Europe and North America, there has never been a more important moment to face up to what we, in Britain, are doing to those who seek sanctuary. Still the UK detains people indefinitely under immigration rules. Bail hearings go unrecorded, people are picked up without notice, individuals feel abandoned in detention centres with no way of knowing when they will be released. In Refugee Tales III we read the stories of people who have been through this process, many of whom have yet to see their cases resolved and who live in fear that at any moment they might be detained again. Poets, novelists and writers have once again collaborated with people who have experienced detention, their tales appearing alongside first-hand accounts by people who themselves have been detained. What we hear in these stories are the realities of the hostile environment, the human costs of a system that disregards rights, that denies freedoms and suspends lives. ‘We hear so many of the wrong words about refugees – ugly, limiting, unimaginative words – that it feels like a gift to find here so many of the right words which allow us to better understand the lives around us, and our own lives too.’ – Kamila Shamsie All profits go to the Gatwick Detainee Welfare Group and Kent Help for Refugees.",http://books.google.co.in/books?id=kmWbDwAAQBAJ&printsec=frontcover&dq=subject:fiction&hl=&cd=20&source=gbs_api
The Black Book,['Orhan Pamuk'],['Fiction'],2006-07-11,"Galip roams Istanbul in search of his missing wife. ""An inventive and . . . exuberant modern national epic"" (""London Sunday Times""); ""one of the world's finest writers"" (""New Statesman"").",http://books.google.co.in/books?id=EnCBAAAAIAAJ&dq=subject:fiction&hl=&cd=21&source=gbs_api
How to Stop Time,['Matt Haig'],['Fiction'],2018-02-06,"From the New York Times bestselling author of The Midnight Library. “A quirky romcom dusted with philosophical observations….A delightfully witty…poignant novel.” —The Washington Post “She smiled a soft, troubled smile and I felt the whole world slipping away, and I wanted to slip with it, to go wherever she was going… I had existed whole years without her, but that was all it had been. An existence. A book with no words.” Tom Hazard has just moved back to London, his old home, to settle down and become a high school history teacher. And on his first day at school, he meets a captivating French teacher at his school who seems fascinated by him. But Tom has a dangerous secret. He may look like an ordinary 41-year-old, but owing to a rare condition, he's been alive for centuries. Tom has lived history--performing with Shakespeare, exploring the high seas with Captain Cook, and sharing cocktails with Fitzgerald. Now, he just wants an ordinary life. Unfortunately for Tom, the Albatross Society, the secretive group which protects people like Tom, has one rule: Never fall in love. As painful memories of his past and the erratic behavior of the Society's watchful leader threaten to derail his new life and romance, the one thing he can't have just happens to be the one thing that might save him. Tom will have to decide once and for all whether to remain stuck in the past, or finally begin living in the present. How to Stop Time tells a love story across the ages—and for the ages—about a man lost in time, the woman who could save him, and the lifetimes it can take to learn how to live. It is a bighearted, wildly original novel about losing and finding yourself, the inevitability of change, and how with enough time to learn, we just might find happiness. Soon to be a major motion picture starring Benedict Cumberbatch.",http://books.google.co.in/books?id=In8mDwAAQBAJ&dq=subject:fiction&hl=&cd=22&source=gbs_api
Popular Music from Vittula,['Mikael Niemi'],['Fiction'],2004-10-05,"Popular Music from Vittula tells the fantastical story of a young boy's unordinary existence, peopled by a visiting African priest, a witch in the heart of the forest, cousins from Missouri, an old Nazi, a beautiful girl with a black Volvo, silent men and tough women, a champion-bicyclist music teacher with a thumb in the middle of his hand—and, not least, on a shiny vinyl disk, the Beatles. The story unfolds in sweltering wood saunas, amidst chain thrashings and gang warfare, learning to play the guitar in the garage, over a traditional wedding meal, on the way to China, during drinking competitions, while learning secret languages, playing ice hockey surrounded by snow drifts, outsmarting mice, discovering girls, staging a first rock concert, peeing in the snow, skiing under a sparkling midnight sky. In the manner of David Mitchell’s Black Swan Green, Mikael Niemi tells a story of a rural Sweden at once foreign and familiar, as a magical childhood slowly fades with the seasons into adult reality.",http://books.google.co.in/books?id=DRFn6Q8XssoC&printsec=frontcover&dq=subject:fiction&hl=&cd=23&source=gbs_api
And Then There Were None,['Agatha Christie'],no genre,1981-04-03,"""First, there were ten - a curious assortment of strangers summoned as weekend guests to a private island off the coast of Devon. Their host, an eccentric millionaire unknown to all of them, is nowhere to be found. All that the guests have in common is a wicked past they're unwilling to reveal - and a secret that will seal their fate. For each has been marked for murder, and one by one they begin to fall prey to an unseen hand. As the only people on the island, unable to leave and unable to call for help, they know that the only possible suspects are among their number. And only the dead are above suspicion.""--BOOK JACKET.",http://books.google.co.in/books?id=gwRwnAEACAAJ&dq=subject:fiction&hl=&cd=24&source=gbs_api
Jacob's Room,['Virgina Woolf'],['Fiction'],2015-08-07,"A Nonconformist Novel with No Central Character “Either we are men, or we are women. Either we are cold, or we are sentimental. Either we are young, or growing old. In any case life is but a procession of shadows, and God knows why it is that we embrace them so eagerly, and see them depart with such anguish, being shadows.” - Virginia Woolf, Jacob's Room Jacob’s Room is not your typical Victorian English novel. The fact that there is no real protagonist stands out the most. Jacob is not actually a character, only a collection of memories, feelings and sensations. His life is like a room seen through the eyes of other people. This Xist Classics edition has been professionally formatted for e-readers with a linked table of contents. This eBook also contains a bonus book club leadership guide and discussion questions. We hope you’ll share this book with your friends, neighbors and colleagues and can’t wait to hear what you have to say about it.",http://books.google.co.in/books?id=a98mCwAAQBAJ&printsec=frontcover&dq=subject:fiction&hl=&cd=25&source=gbs_api
The Road to Oz,['L. Frank Baum'],['Fiction'],2004-10,Dorothy and her friends follow the enchanted road to Oz and arrive in time for Ozma's birthday party.,http://books.google.co.in/books?id=gK3DCAAAQBAJ&printsec=frontcover&dq=subject:fiction&hl=&cd=26&source=gbs_api
The Festival of Insignificance,['Milan Kundera'],['Fiction'],2023-07-18,"“Slender but weighty. . . . What is moving about this novel is its embrace of what has always driven Kundera, the delicate state of living between being and nothingness.”— Boston Globe From the internationally acclaimed, bestselling author of The Unbearable Lightness of Being, an entertaining and enchanting novel—""a fitting capstone on an extraordinary career."" (Slate) Casting light on the most serious of problems and at the same time saying not one serious sentence; being fascinated by the reality of the contemporary world and at the same time completely avoiding realism—that’s The Festival of Insignificance. Readers who know Milan Kundera’s earlier books know that the wish to incorporate an element of the “unserious” in a novel is not at all unexpected of him. In Immortality, Goethe and Hemingway stroll through several chapters together talking and laughing. And in Slowness, Vera, the author’s wife, says to her husband: “you’ve often told me you meant to write a book one day that would have not a single serious word in it…I warn you: watch out. Your enemies are lying in wait.” Kundera is finally and fully realizing his old aesthetic dream in this novel that we could easily view as a summation of his whole work. A strange sort of summation. Strange sort of epilogue. Strange sort of laughter, inspired by our time, which is comical because it has lost all sense of humor. What more can we say? Nothing. Just read.",http://books.google.co.in/books?id=x093EAAAQBAJ&printsec=frontcover&dq=subject:fiction&hl=&cd=27&source=gbs_api
The Black Arrow,['Robert Louis Stevenson'],['Fiction'],2007-12-18,"From the beloved author of Treasure Island Originally serialized in a periodical of boys' adventure fiction, The Black Arrow is a swashbuckling portrait of a young man's journey to discover the heroism within himself. Young Dick Shelton, caught in the midst of England's War of the Roses, finds his loyalties torn between the guardian who will ultimately betray him and the leader of a secret fellowship, The Black Arrow. As Shelton is drawn deeper into this conspiracy, he must distinguish friend from foe and confront war, shipwreck, revenge, murder, and forbidden love, as England's crown threatens to topple around him. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",http://books.google.co.in/books?id=J4-MEAAAQBAJ&dq=subject:fiction&hl=&cd=28&source=gbs_api
Sin and Its Consequences,['Henry Edward'],['Fiction'],2023-02-28,"Reprint of the original, first published in 1874. The publishing house Anatiposi publishes historical books as reprints. Due to their age, these books may have missing pages or inferior quality. Our aim is to preserve these books and make them available to the public so that they do not get lost.",http://books.google.co.in/books?id=ZuqwEAAAQBAJ&printsec=frontcover&dq=subject:fiction&hl=&cd=29&source=gbs_api
The Jungle Book,['Rudyard Kipling'],no genre,2020-03-20,"No child should be allowed to grow up without reading The Jungle Books. These stories crackle with as much life and intensity as ever. Rudyard Kipling pours fuel on childhood fantasies with his tales of Mowgli, lost in the jungles of India as a child and adopted into a family of wolves. Mowgli is brought up on a diet of Jungle Law, loyalty, and fresh meat from the kill. Regular adventures with his friends and enemies among the Jungle-People-cobras, panthers, bears, and tigers-hone this man-cub's strength and cleverness and whet every reader's imagination. Mowgli's story is interspersed with other tales of the jungle, such as ""Rikki-Tikki-Tavi,"" lending depth and diversity to our understanding of Kipling's India. In much the same way Mowgli is carried away by the Bandar-log monkeys, young readers will be caught up by the stories, swinging from page to page, breathless, thrilled, and terrified.It was seven o'clock of a very warm evening in the Seeonee hills when Father Wolf woke up from his day's rest, scratched himself, yawned, and spread out his paws one after the other to get rid of the sleepy feeling in the tips. Mother Wolf lay with her big gray nose dropped across her four tumbling, squealing cubs, and the moon shone into the mouth of the cave where they all lived. ""Augrh!"" said Father Wolf, ""it is time to hunt again""; and he was going to spring downhill when a little shadow with a bushy tail crossed the threshold and whined: ""Good luck go with you, O Chief of the Wolves; and good luck and strong white teeth go with the noble children, that they may never forget the hungry in this world.""It was the jackal-Tabaqui, the Dish-licker-and the wolves of India despise Tabaqui because he runs about making mischief, and telling tales, and eating rags and pieces of leather from the village rubbish-heaps. They are afraid of him too, because Tabaqui, more than any one else in the jungle, is apt to go mad, and then he forgets that he was ever afraid of any one, and runs through the forest biting everything in his way. Even the tiger hides when little Tabaqui goes mad, for madness is the most disgraceful thing that can overtake a wild creature. We call it hydrophobia, but they call it dewanee-the madness-and run.",http://books.google.co.in/books?id=PAF2zQEACAAJ&dq=subject:fiction&hl=&cd=30&source=gbs_api
1601 Conversation as it was by the Social Fireside in the Time of the Tudors,['Mark Twain'],['Fiction'],1900-01-01,"1601 was written during the summer of 1876 when the Clemens family had retreated to Quarry Farm in Elmira County, New York. Here Mrs. Clemens enjoyed relief from social obligations, the children romped over the countryside, and Mark retired to his octagonal study, which, perched high on the hill, looked out upon the valley below. It was in the famous summer of 1876, too, that Mark was putting the finishing touches to Tom Sawyer. Before the close of the same year he had already begun work on ‘The Adventures of Huckleberry Finn’, published in 1885. It is interesting to note the use of the title, the “Duke of Bilgewater,” in Huck Finn when the “Duchess of Bilgewater” had already made her appearance in 1601. Sandwiched between his two great masterpieces, Tom Sawyer and Huck Finn, the writing of 1601 was indeed a strange interlude. During this prolific period Mark wrote many minor items, most of them rejected by Howells, and read extensively in one of his favorite books, Pepys’ Diary. Like many another writer Mark was captivated by Pepys’ style and spirit, and “he determined,” says Albert Bigelow Paine in his ‘Mark Twain, A Biography’, “to try his hand on an imaginary record of conversation and court manners of a bygone day, written in the phrase of the period. The result was ‘Fireside Conversation in the Time of Queen Elizabeth’, or as he later called it, ‘1601’. The ‘conversation’ recorded by a supposed Pepys of that period, was written with all the outspoken coarseness and nakedness of that rank day, when fireside sociabilities were limited only to the loosened fancy, vocabulary, and physical performance, and not by any bounds of convention.”",http://books.google.co.in/books?id=QwVWCgAAQBAJ&printsec=frontcover&dq=subject:fiction&hl=&cd=31&source=gbs_api
The Jungle Book (100th Anniversary Edition),['Rudyard Kipling'],no genre,2020-06-09,"A nice edition with 60 illustrations from various artists. The Jungle Book (1894) is a collection of stories by the English author Rudyard Kipling. Most of the characters are animals such as Shere Khan the tiger and Baloo the bear, though a principal character is the boy or ""man-cub"" Mowgli, who is raised in the jungle by wolves. The stories are set in a forest in India; one place mentioned repeatedly is ""Seonee"" in the central state of Madhya Pradesh. A major theme in the book is abandonment followed by fostering, as in the life of Mowgli, echoing Kipling's own childhood.",http://books.google.co.in/books?id=7BWWzQEACAAJ&dq=subject:fiction&hl=&cd=32&source=gbs_api
The Jungle Book Annotated,['Rudyard Kipling'],no genre,2021-04-27,"The Jungle Book (1894) is a collection of stories written by Rudyard Kipling.The tales in the book (and also those in The Second Jungle Book which followed in 1895, and which includes five further stories about Mowgli) are fables, using animals in an anthropomorphic manner to give moral lessons. The verses of The Law of the Jungle, for example, lay down rules for the safety of individuals, families and communities. Kipling put in them nearly everything he knew or ""heard or dreamed about the Indian jungle.""",http://books.google.co.in/books?id=5ulqzgEACAAJ&dq=subject:fiction&hl=&cd=33&source=gbs_api
The Jungle Book,['Rudyard Kipling'],no genre,2017-08-12,"The Jungle Book (1894) is a collection of stories written by Rudyard Kipling.The tales in the book (and also those in The Second Jungle Book which followed in 1895, and which includes five further stories about Mowgli) are fables, using animals in an anthropomorphic manner to give moral lessons. The verses of The Law of the Jungle, for example, lay down rules for the safety of individuals, families and communities. Kipling put in them nearly everything he knew or ""heard or dreamed about the Indian jungle.",http://books.google.co.in/books?id=netutAEACAAJ&dq=subject:fiction&hl=&cd=34&source=gbs_api
The Light of Asia,['Sir Edwin Arnold'],no genre,2015-06-13,"The Scripture of the Saviour of the World, Lord Buddha-Prince Siddartha styled on earth In Earth and Heavens and Hells Incomparable, All-honoured, Wisest, Best, most Pitiful; The Teacher of Nirvana and the Law.",http://books.google.co.in/books?id=ESzysgEACAAJ&dq=subject:fiction&hl=&cd=35&source=gbs_api
